seller_id,price
4869f7a5dfa277a7dca6462dcf3b52b2,171047.09
53243585a1d6dc2643021fd1853d8905,164705.57
4a3ca9315b744ce9f8e9374361493884,149515.28
fa1c13f2614d7b5c4749cbc52fecda94,149237.87
7c67e1448b00f6e969d365cea6b010ab,144133.73
7e93a43ef30c4f03f38b393420bc753a,136131.82
da8622b14eb17ae2831f4ac5b9dab84a,119757.19
7a67c85e85bb2ce8582c35f2203ad736,108725.53
1025f0e2d44d7041d6cf58b6550e0bfa,103507.43
955fee9216a65b617aa5c0531780ce60,96395.55
46dc3b2cc0980fb8ec44634e21d2718e,96110.59
6560211a19b47992c3666cc44a7e94c0,93723.85
7d13fca15225358621be4086e1eb0964,84220.33
620c87c171fb2a6dd6e8bb4dec959fc6,83222.05
5dceca129747e92ff8ef7a997dc4f8ca,82626.47
1f50f920176fa81dab994f9023523100,82186.98
a1043bafd471dff536d0c462352beb48,75729.1
cc419e0650a3c5ba77189a1882b7556a,75077.29
3d871de0142ce09b7081e2b9d1733cb1,70593.1
edb1ef5e36e0c8cd84eb3c9b003e486d,61681.1
ccc4bbb5f32a6ab2b7066a4130f114e3,53449.92
f7ba60f8c3f99e7ee4042fdef03b70c4,50143.0
fe2032dab1a61af8794248c8196565c9,49803.14
cca3071e3e9bb7d12640c9fbe2301306,48351.43
8581055ce74af1daba164fdbd55a40de,48085.96
17e34d8224d27a541263c4c64b11a56b,45307.29
966cb4760537b1404caedd472cc610a5,45198.27
f5a590cf36251cf1162ea35bef76fe84,43991.78
de722cd6dad950a92b7d4f82673f8833,43495.9
04308b1ee57b6625f47df1d56f00eedf,43433.3
7ddcbb64b5bc1ef36ca8c151f6ec77df,42480.44
522620dcb18a6b31cd7bdf73665113a9,42315.03
37be5a7c751166fbc5f8ccba4119e043,40730.82
ceaec5548eefc6e23e6607c5435102e7,40653.94
25c5c91f63607446a97b143d2d535d31,40581.78
f8db351d8c4c4c22c6835c19a46f01b0,39452.7
e882b2a25a10b9c057cc49695f222c19,39396.66
218d46b86c1881d022bce9c68a7d4b15,38558.68
b2ba3715d723d245138f291a6fe42594,37180.09
eeb6de78f79159600292e314a77cbd18,36344.87
2bf6a2c1e71bbd29a4ad64e6d3c3629f,36241.1
77530e9772f57a62c906e1c21538ab82,35545.7
b839e41795b7f3ad94cc2014a52f6796,35370.0
634964b17796e64304cadf1ad3050fb7,33222.5
17f51e7198701186712e53a39c564617,33210.0
8160255418d5aaa7dbdc9f4c64ebda44,32979.1
4e922959ae960d389249c378d1c939f5,32838.07
c826c40d7b19f62a09e2d7c5e7295ee2,32650.239999999998
e9779976487b77c6d4ac45f75ec7afe9,32212.74
850f4f8af5ea87287ac68de36e29107f,31756.79
c3cfdc648177fdbbbb35635a37472c53,31574.510000000002
4d6d651bd7684af3fffabd5f08d12e5a,30741.5
59417c56835dd8e2e72f91f809cd4092,30445.0
b33e7c55446eabf8fe1a42d037ac7d6d,30383.78
2eb70248d66e0e3ef83659f71b244378,29988.54
d91fb3b7d041e83b64a00a3edfb37e4f,29784.09
391fc6631aebcf3004804e51b40bcf1e,29753.59
712e6ed8aa4aa1fa65dab41fed5737e4,29736.0
ea8482cd71df3c1969d7b9473ff13abc,28180.48
